result	Gene	location	phenotype	inheritance
SUCCESS	A2ML1	12p13.31	{Otitis media, susceptibility to}	AD
SUCCESS	AAAS	12q13.13	Achalasia-addisonianism-alacrimia syndrome	AR
SUCCESS	AAGAB	15q23	Keratoderma, palmoplantar, punctate type IA	AD
SUCCESS	AARS1	16q22.1	?Leukoencephalopathy, hereditary diffuse, with spheroids 2|Charcot-Marie-Tooth disease, axonal, type 2N|Developmental and epileptic encephalopathy 29|Trichothiodystrophy 8, nonphotosensitive	AD|AD|AR|AR
SUCCESS	AARS2	6p21.1	Combined oxidative phosphorylation deficiency 8|Leukoencephalopathy, progressive, with ovarian failure	AR|AR
SUCCESS	AASS	7q31.32	Hyperlysinemia	AR
SUCCESS	ABAT	16p13.2	GABA-transaminase deficiency	AR
SUCCESS	ABCA1	9q31.1	HDL deficiency, familial, 1|Tangier disease	AD|AR
SUCCESS	ABCA12	2q35	Ichthyosis, congenital, autosomal recessive 4A|Ichthyosis, congenital, autosomal recessive 4B (harlequin)	AR|AR
SUCCESS	ABCA2	9q34.3	Intellectual developmental disorder with poor growth and with or without seizures or ataxia	AR
SUCCESS	ABCA3	16p13.3	Surfactant metabolism dysfunction, pulmonary, 3	AR
SUCCESS	ABCA4	1p22.1	{Macular degeneration, age-related, 2}|Cone-rod dystrophy 3|Fundus flavimaculatus|Retinal dystrophy, early-onset severe|Retinitis pigmentosa 19|Stargardt disease 1	AD|AR|AR|AR|AR|AR
SUCCESS	ABCA5	17q24.3	?Hypertrichosis, congenital generalized, with gingival hyperplasia	AR
SUCCESS	ABCA7	19p13.3	{Alzheimer disease 9, susceptibility to}	AD
SUCCESS	ABCB11	2q31.1	Cholestasis, benign recurrent intrahepatic, 2|Cholestasis, progressive familial intrahepatic 2	AR|AR
SUCCESS	ABCB4	7q21.12	Cholestasis, intrahepatic, of pregnancy, 3|Cholestasis, progressive familial intrahepatic 3|Gallbladder disease 1	AD, AR|AR|AD, AR
SUCCESS	ABCB6	2q35	[Blood group, Langereis system]|Dyschromatosis universalis hereditaria 3|Microphthalmia/coloboma 7|Pseudohyperkalemia, familial, 2, due to red cell leak	.|AD|AD|AD
SUCCESS	ABCB7	Xq13.3	Anemia, sideroblastic, with ataxia	XL
SUCCESS	ABCC1	16p13.11	?Deafness, autosomal dominant 77	AD
SUCCESS	ABCC2	10q24.2	Dubin-Johnson syndrome	AR
SUCCESS	ABCC6	16p13.11	Arterial calcification, generalized, of infancy, 2|Pseudoxanthoma elasticum|Pseudoxanthoma elasticum, forme fruste	AR|AR|AD
SUCCESS	ABCC8	11p15.1	Diabetes mellitus, noninsulin-dependent|Diabetes mellitus, permanent neonatal 3, with or without neurologic features|Diabetes mellitus, transient neonatal 2|Hyperinsulinemic hypoglycemia, familial, 1|Hypoglycemia of infancy, leucine-sensitive	AD|AD, AR|.|AD, AR|AD
SUCCESS	ABCC9	12p12.1	?Atrial fibrillation, familial, 12|Cardiomyopathy, dilated, 1O|Hypertrichotic osteochondrodysplasia (Cantu syndrome)|Intellectual disability and myopathy syndrome	AD|AD|AD|AR
SUCCESS	ABCD1	Xq28	Adrenoleukodystrophy|Adrenomyeloneuropathy, adult	XLR|XLR
SUCCESS	ABCD3	1p21.3	?Bile acid synthesis defect, congenital, 5	AR
SUCCESS	ABCD4	14q24.3	Methylmalonic aciduria and homocystinuria, cblJ type	AR
SUCCESS	ABCG5	2p21	Sitosterolemia 2	AR
SUCCESS	ABCG8	2p21	{Gallbladder disease 4}|Sitosterolemia 1	.|AR
SUCCESS	ABHD12	20p11.21	Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract	AR
SUCCESS	ABHD16A	6p21.33	Spastic paraplegia 86, autosomal recessive	AR
